date,mode,matchId,legId,player,attemptedScore,scoredPoints,dartsUsed,isCheckout,target,hit,segment,multiplier,value
2026-07-18T10:52:29.228Z,clock,27,,Ant,,,,,3,false,,,
2026-07-18T10:52:29.525Z,clock,27,,Ant,,,,,3,false,,,
2026-07-18T10:52:31.394Z,clock,27,,Ant,,,,,3,true,,,
2026-07-18T10:52:46.230Z,clock,27,,Ant,,,,,4,true,,,
2026-07-18T10:52:46.577Z,clock,27,,Ant,,,,,5,true,,,
2026-07-18T10:52:46.980Z,clock,27,,Ant,,,,,6,true,,,
2026-07-18T10:53:01.865Z,clock,27,,Ant,,,,,7,false,,,
2026-07-18T10:53:02.246Z,clock,27,,Ant,,,,,7,false,,,
2026-07-18T10:53:02.615Z,clock,27,,Ant,,,,,7,true,,,
2026-07-18T10:53:16.600Z,clock,27,,Ant,,,,,8,false,,,
2026-07-18T10:53:16.931Z,clock,27,,Ant,,,,,8,false,,,
2026-07-18T10:53:17.285Z,clock,27,,Ant,,,,,8,false,,,
2026-07-18T10:53:31.337Z,clock,27,,Ant,,,,,8,false,,,
2026-07-18T10:53:31.820Z,clock,27,,Ant,,,,,8,true,,,
2026-07-18T10:53:32.152Z,clock,27,,Ant,,,,,9,false,,,
2026-07-18T10:53:47.155Z,clock,27,,Ant,,,,,9,false,,,
2026-07-18T10:53:47.570Z,clock,27,,Ant,,,,,9,false,,,
2026-07-18T10:53:47.989Z,clock,27,,Ant,,,,,9,true,,,
2026-07-18T10:54:03.741Z,clock,27,,Ant,,,,,10,true,,,
2026-07-18T10:54:04.124Z,clock,27,,Ant,,,,,11,false,,,
2026-07-18T10:54:04.542Z,clock,27,,Ant,,,,,11,true,,,
2026-07-18T10:54:19.127Z,clock,27,,Ant,,,,,12,true,,,
2026-07-18T10:54:19.575Z,clock,27,,Ant,,,,,13,true,,,
2026-07-18T10:54:19.978Z,clock,27,,Ant,,,,,14,true,,,
2026-07-18T10:54:34.729Z,clock,27,,Ant,,,,,15,false,,,
2026-07-18T10:54:35.145Z,clock,27,,Ant,,,,,15,true,,,
2026-07-18T10:54:35.546Z,clock,27,,Ant,,,,,16,false,,,
2026-07-18T10:54:52.565Z,clock,27,,Ant,,,,,16,true,,,
2026-07-18T10:54:52.996Z,clock,27,,Ant,,,,,17,true,,,
2026-07-18T10:54:53.348Z,clock,27,,Ant,,,,,18,true,,,
2026-07-18T10:55:07.867Z,clock,27,,Ant,,,,,19,false,,,
2026-07-18T10:55:08.283Z,clock,27,,Ant,,,,,19,true,,,
2026-07-18T10:55:08.618Z,clock,27,,Ant,,,,,20,false,,,
2026-07-18T10:55:22.020Z,clock,27,,Ant,,,,,20,true,,,
2026-07-18T10:55:22.553Z,clock,27,,Ant,,,,,25,false,,,
2026-07-18T10:55:23.170Z,clock,27,,Ant,,,,,25,true,,,
2026-07-18T11:04:10.219Z,clock,28,,Ant,,,,,1,false,,,
2026-07-18T11:04:10.649Z,clock,28,,Ant,,,,,1,true,,,
2026-07-18T11:04:11.032Z,clock,28,,Ant,,,,,2,false,,,
2026-07-18T11:04:28.652Z,clock,28,,Ant,,,,,2,true,,,
2026-07-18T11:04:29.016Z,clock,28,,Ant,,,,,3,true,,,
2026-07-18T11:04:29.469Z,clock,28,,Ant,,,,,4,false,,,
2026-07-18T11:04:47.222Z,clock,28,,Ant,,,,,4,true,,,
2026-07-18T11:04:47.705Z,clock,28,,Ant,,,,,5,false,,,
2026-07-18T11:04:48.121Z,clock,28,,Ant,,,,,5,true,,,
2026-07-18T11:05:04.691Z,clock,28,,Ant,,,,,6,false,,,
2026-07-18T11:05:05.088Z,clock,28,,Ant,,,,,6,false,,,
2026-07-18T11:05:05.541Z,clock,28,,Ant,,,,,6,true,,,
2026-07-18T11:05:20.593Z,clock,28,,Ant,,,,,7,false,,,
2026-07-18T11:05:21.060Z,clock,28,,Ant,,,,,7,true,,,
2026-07-18T11:05:21.391Z,clock,28,,Ant,,,,,8,true,,,
2026-07-18T11:05:36.429Z,clock,28,,Ant,,,,,9,true,,,
2026-07-18T11:05:37.062Z,clock,28,,Ant,,,,,10,true,,,
2026-07-18T11:05:37.646Z,clock,28,,Ant,,,,,11,true,,,
2026-07-18T11:05:56.049Z,clock,28,,Ant,,,,,12,false,,,
2026-07-18T11:05:56.464Z,clock,28,,Ant,,,,,12,true,,,
2026-07-18T11:05:56.832Z,clock,28,,Ant,,,,,13,false,,,
2026-07-18T11:06:14.835Z,clock,28,,Ant,,,,,13,false,,,
2026-07-18T11:06:15.435Z,clock,28,,Ant,,,,,13,true,,,
2026-07-18T11:06:15.749Z,clock,28,,Ant,,,,,14,true,,,
2026-07-18T11:06:30.220Z,clock,28,,Ant,,,,,15,true,,,
2026-07-18T11:06:30.650Z,clock,28,,Ant,,,,,16,true,,,
2026-07-18T11:06:31.002Z,clock,28,,Ant,,,,,17,true,,,
2026-07-18T11:06:46.263Z,clock,28,,Ant,,,,,18,false,,,
2026-07-18T11:06:46.696Z,clock,28,,Ant,,,,,18,true,,,
2026-07-18T11:06:47.080Z,clock,28,,Ant,,,,,19,false,,,
2026-07-18T11:07:00.671Z,clock,28,,Ant,,,,,19,true,,,
2026-07-18T11:07:01.003Z,clock,28,,Ant,,,,,20,false,,,
2026-07-18T11:07:01.303Z,clock,28,,Ant,,,,,20,true,,,
2026-07-18T11:07:10.690Z,clock,28,,Ant,,,,,25,true,,,
